word	valence	arousal	dominance	goodness	energy	structure	power	danger
aaaaaaah	-0.02102	0.106034	-0.209155	-0.134677	-0.022548	0.191793	-0.111175	0.079288
aaaah	0.01998	0.136034	-0.218155	-0.108079	-0.009215	0.233945	-0.082939	0.069907
aardvark	-0.07302	-0.009966	-0.063155	-0.091981	-0.030811	0.003154	-0.086828	0.043254
aardvarks	-0.07302	-0.009966	-0.063155	-0.091981	-0.030811	0.003154	-0.086828	0.043254
abaci	0.00998	-0.223966	-0.015155	0.034769	-0.194588	-0.106849	-0.113009	-0.16218
aback	-0.11502	-0.092966	-0.212155	-0.18759	-0.173363	0.040463	-0.255233	0.01006
abacks	-0.11502	-0.092966	-0.212155	-0.18759	-0.173363	0.040463	-0.255233	0.01006
abacus	0.00998	-0.223966	-0.015155	0.034769	-0.194588	-0.106849	-0.113009	-0.16218
abacuses	0.00998	-0.223966	-0.015155	0.034769	-0.194588	-0.106849	-0.113009	-0.16218
abalone	-2e-05	-0.019966	-0.088155	-0.039474	-0.064258	0.049826	-0.07335	-0.017525
abandon	-0.44802	0.019034	-0.255155	-0.512623	-0.051154	-0.028099	-0.39865	0.326308
abandoned	-0.45402	-0.018966	-0.370155	-0.567492	-0.14389	0.027529	-0.503023	0.299532
abandonment	-0.37202	-0.069966	-0.298155	-0.454393	-0.160015	-0.010649	-0.434452	0.208156
abandonments	-0.37202	-0.069966	-0.298155	-0.454393	-0.160015	-0.010649	-0.434452	0.208156
abandons	-0.44802	0.019034	-0.255155	-0.512623	-0.051154	-0.028099	-0.39865	0.326308
abashed	-0.32302	0.144034	-0.193155	-0.393482	0.065648	0.057088	-0.231814	0.324654
abate	-0.24502	0.196034	0.103845	-0.190903	0.257112	-0.081839	0.046816	0.316794
abatement	-0.11202	-0.161966	-0.164155	-0.151588	-0.204748	-0.028767	-0.251968	-0.03759
abatements	-0.11202	-0.161966	-0.164155	-0.151588	-0.204748	-0.028767	-0.251968	-0.03759
abates	-0.24502	0.196034	0.103845	-0.190903	0.257112	-0.081839	0.046816	0.316794
abba	0.06198	3.4e-05	-0.020155	0.043823	-0.020784	0.043535	0.016291	-0.045684
abbas	0.06198	3.4e-05	-0.020155	0.043823	-0.020784	0.043535	0.016291	-0.045684
abbey	0.07998	-0.132966	-0.056155	0.0619	-0.152901	0.004453	-0.064347	-0.151887
abbeys	0.07998	-0.132966	-0.056155	0.0619	-0.152901	0.004453	-0.064347	-0.151887
abbot	-0.07302	-0.178966	-0.017155	-0.044599	-0.145306	-0.120632	-0.134284	-0.071211
abbots	-0.07302	-0.178966	-0.017155	-0.044599	-0.145306	-0.120632	-0.134284	-0.071211
abbreviate	0.03098	-0.124966	-0.170155	-0.036495	-0.200284	0.063902	-0.167428	-0.115816
abbreviates	0.03098	-0.124966	-0.170155	-0.036495	-0.200284	0.063902	-0.167428	-0.115816
abbreviation	-0.03102	-0.193966	-0.155155	-0.072518	-0.239191	-0.013677	-0.220411	-0.117855
abbreviations	-0.03102	-0.193966	-0.155155	-0.072518	-0.239191	-0.013677	-0.220411	-0.117855
abdomen	-0.03102	-0.037966	-0.029155	-0.035157	-0.04218	-0.015442	-0.054686	-0.004966
abdomens	-0.03102	-0.037966	-0.029155	-0.035157	-0.04218	-0.015442	-0.054686	-0.004966
abdomina	-0.03102	-0.037966	-0.029155	-0.035157	-0.04218	-0.015442	-0.054686	-0.004966
abdominal	-0.01002	-0.043966	-0.055155	-0.028641	-0.064575	0.009236	-0.065913	-0.025409
abdominals	-0.01002	-0.043966	-0.055155	-0.028641	-0.064575	0.009236	-0.065913	-0.025409
abduct	-0.32702	0.220034	0.114845	-0.260014	0.295955	-0.115542	0.025414	0.393129
abduction	-0.43802	0.490034	0.172845	-0.368282	0.567862	-0.061415	0.141125	0.661954
abductions	-0.43802	0.490034	0.172845	-0.368282	0.567862	-0.061415	0.141125	0.661954
aberrant	-0.35402	0.265034	-0.069155	-0.378632	0.237642	0.022804	-0.099695	0.435771
aberrants	-0.35402	0.265034	-0.069155	-0.378632	0.237642	0.022804	-0.099695	0.435771
aberration	-0.37502	0.316034	-0.083155	-0.411125	0.275479	0.0502	-0.095916	0.485502
aberrations	-0.37502	0.316034	-0.083155	-0.411125	0.275479	0.0502	-0.095916	0.485502
abeyance	-0.17002	0.010034	-0.208155	-0.248549	-0.077443	0.067545	-0.230511	0.12099
abeyances	-0.17002	0.010034	-0.208155	-0.248549	-0.077443	0.067545	-0.230511	0.12099
abhor	-0.37502	0.102034	-0.151155	-0.411903	0.062059	-0.019592	-0.247377	0.335141
abhorrence	-0.33302	0.184034	-0.080155	-0.353694	0.161502	-0.003723	-0.1359	0.364298
abhorrences	-0.33302	0.184034	-0.080155	-0.353694	0.161502	-0.003723	-0.1359	0.364298
abhorrent	-0.27102	0.250034	-0.026155	-0.284006	0.235338	0.024697	-0.034413	0.367231
